Aathal-Seegräben; CH
Aawangen; CH
Abraham; DE
Abtwil AG; CH
Abtwil SG; CH
Addebüll; DE
Adlersteige; DE
Adlikon b. Andelfingen; CH
Adlikon b. Regensdorf; CH
Adliswil 1; CH
Adorf /Vogtl.; DE
Aesch (Neftenbach); CH
Aesch BL; CH
Aesch LU; CH
Aesch ZH; CH
Aeschi SO; CH
Aeschi b. Spiez; CH
Agriswil; CH
Ahrenstedt; DE
Aigenfließen; AT
Aiteröd; DE
Alchenflüh; CH
Algesbüttel; DE
Allerheiligenberg; CH
Allersgraben / Širokani; AT
Allmendingen b. Bern; CH
Alosen; CH
Alpnachstad; CH
Alsau; DE
Alt Karin;Neu Karin;Danneborth; DE
Altbrand;Vorwerk Friedrich; DE
Altdorf UR; CH
Altdorf b. Nürnberg; DE
Alten; CH
Alterswil FR; CH
Altheimersberg; DE
Althodis / Stari Hodas; AT
Am Römerhof;Am Römerschacht; DE
Am Rönndeich; DE
Am Rüdesheimer Hafen; DE
Am Sandkopf; DE
Am Sandweiher; DE
Ammerswil AG; CH
An der Rhumequelle; DE
Andwil SG; CH
Angerholz; AT
Annaberg; DE
Antau / Otava; AT
Apples; CH
Arbedo; CH
Arcegno; CH
Arconciel; CH
Arni AG; CH
Arni BE; CH
Artamhof; DE
Aschau a. Inn; DE
Aschau i. Chiemgau; DE
Asp; CH
Aspelhorn; DE
Asuel; CH
Athenaz (Avusy); CH
Attelwil; CH
Auerbach /Vogtl.; DE
Auerberg; DE
Augst BL; CH
Auhof;Heldenmühle;Schummhof; DE
Aura i. Sinngrund; DE
Ausserbraz; AT
Autafond; CH
Auwies; DE
Avegno; CH
Avry-Centre FR; CH
Babben; DE
Bachzelten; DE
Bad Berneck i. Fichtelgebirge; DE
Bad Frankenhausen /Kyffhäuser; DE
Bad Homburg; DE
Bad Homburg v. d. Höhe; DE
Bad Königshofen i. Grabfeld; DE
Bad Lauchstädt , Goethestadt; DE
Bad Zurzach; CH
Badisch Schöllenbach; DE
Bahnstock; DE
Baierhof; DE
Baldham; DE
Banco; CH
Bangerten b. Dieterswil; CH
Bargen BE; CH
Bargen SH; CH
Bargholz; DE
Barkhorn; DE
Barmelweid; CH
Baruth / Mark; DE
Basdorf;Braunsberg; DE
Basel SPILOG; CH
Bassecourt; CH
Battinsthal;Schuckmannshöhe; DE
Baumgarten / Pajngrt; AT
Bayerbach b. Ergoldsbach; DE
Bayern; DE
Beblinstetten; DE
Beckedorfer Schacht; DE
Bei den Tongruben; DE
Beinwil SO; CH
Bellelay; CH
Bellers; DE
Bembermühle; DE
Bembsmühle; DE
Benglen; CH
Benjental;Looganlage; DE
Benken SG; CH
Benken ZH; CH
Berg (Dägerlen); CH
Berg SG; CH
Berga /Elster; DE
Bergmühle; DE
Bergün/Bravuogn; CH
