Bevölkerungsstand

Bevölkerungszahl absolut
Gemeinden
2026-01-01
© Statistik Austria  - Kartographie und GIS
Download: 2026-07-22 8:17:58

ID;Name;Wert;
10101;Eisenstadt;16396;
10201;Rust;1918;
10301;Breitenbrunn am Neusiedler See;1931;
10302;Donnerskirchen;1856;
10303;Großhöflein;2078;
10304;Hornstein;3329;
10305;Klingenbach;1196;
10306;Leithaprodersdorf;1258;
10307;Mörbisch am See;2163;
10308;Müllendorf;1529;
10309;Neufeld an der Leitha;3633;
10310;Oggau am Neusiedler See;1703;
10311;Oslip;1303;
10312;Purbach am Neusiedler See;3128;
10313;Sankt Margarethen im Burgenland;2705;
10314;Schützen am Gebirge;1453;
10315;Siegendorf;3199;
10316;Steinbrunn;2971;
10317;Trausdorf an der Wulka;2142;
10318;Wimpassing an der Leitha;1704;
10319;Wulkaprodersdorf;1919;
10320;Loretto;545;
10321;Stotzing;839;
10322;Zillingtal;1052;
10323;Zagersdorf;1169;
10401;Bocksdorf;800;
10402;Burgauberg-Neudauberg;1337;
10403;Eberau;904;
10404;Gerersdorf-Sulz;1014;
10405;Güssing;3534;
10406;Güttenbach;834;
10407;Heiligenbrunn;709;
10408;Kukmirn;1984;
10409;Neuberg im Burgenland;935;
10410;Neustift bei Güssing;432;
10411;Olbendorf;1481;
10412;Ollersdorf im Burgenland;959;
10413;Sankt Michael im Burgenland;1004;
10414;Stegersbach;2746;
10415;Stinatz;1188;
10416;Strem;934;
10417;Tobaj;1398;
10418;Hackerberg;383;
10419;Wörterberg;532;
10420;Großmürbisch;224;
10421;Inzenhof;328;
10422;Kleinmürbisch;221;
10423;Tschanigraben;69;
10424;Heugraben;220;
10425;Rohr im Burgenland;358;
10426;Bildein;354;
10427;Rauchwart;468;
10428;Moschendorf;357;
10501;Deutsch Kaltenbrunn;1743;
10502;Eltendorf;891;
10503;Heiligenkreuz im Lafnitztal;1247;
10504;Jennersdorf;4140;
10505;Minihof-Liebau;1046;
10506;Mogersdorf;1141;
10507;Neuhaus am Klausenbach;873;
10508;Rudersdorf;2253;
10509;Sankt Martin an der Raab;1937;
10510;Weichselbaum;720;
10511;Königsdorf;781;
10512;Mühlgraben;376;
10601;Draßburg;1264;
10602;Forchtenstein;2797;
10603;Hirm;1127;
10604;Loipersbach im Burgenland;1286;
10605;Marz;2049;
10606;Mattersburg;7563;
10607;Neudörfl;5016;
10608;Pöttelsdorf;760;
10609;Pöttsching;3036;
10610;Rohrbach bei Mattersburg;2687;
10611;Bad Sauerbrunn;2387;
10612;Schattendorf;2334;
10613;Sieggraben;1239;
10614;Sigleß;1161;
10615;Wiesen;2751;
10616;Antau;842;
10617;Baumgarten;921;
10618;Zemendorf-Stöttera;1332;
10619;Krensdorf;624;
10701;Andau;2257;
10702;Apetlon;1728;
10703;Bruckneudorf;3105;
10704;Deutsch Jahrndorf;647;
10705;Frauenkirchen;2960;
10706;Gattendorf;1548;
10707;Gols;3929;
10708;Halbturn;1849;
10709;Illmitz;2308;
10710;Jois;1693;
10711;Kittsee;3898;
10712;Mönchhof;2176;
10713;Neusiedl am See;8867;
10714;Nickelsdorf;1806;
10715;Pama;1271;
10716;Pamhagen;1455;
10717;Parndorf;5345;
10718;Podersdorf am See;2129;
10719;Sankt Andrä am Zicksee;1378;
10720;Tadten;1123;
10721;Wallern im Burgenland;1629;
10722;Weiden am See;2560;
10723;Winden am See;1373;
10724;Zurndorf;2322;
10725;Neudorf;869;
10726;Potzneusiedl;689;
10727;Edelstal;824;
10801;Deutschkreutz;3151;
10802;Draßmarkt;1360;
10803;Frankenau-Unterpullendorf;1083;
10804;Großwarasdorf;1367;
10805;Horitschon;1813;
10806;Kaisersdorf;599;
10807;Kobersdorf;1916;
10808;Lackenbach;1125;
10809;Lockenhaus;2046;
10810;Lutzmannsburg;843;
10811;Mannersdorf an der Rabnitz;1754;
10812;Markt Sankt Martin;1276;
10813;Neckenmarkt;1656;
10814;Neutal;1145;
10815;Nikitsch;1356;
10816;Oberpullendorf;3298;
10817;Pilgersdorf;1555;
10818;Piringsdorf;829;
10819;Raiding;920;
10820;Ritzing;914;
10821;Steinberg-Dörfl;1312;
10822;Stoob;1374;
10823;Weppersdorf;1878;
10824;Lackendorf;632;
10825;Unterfrauenhaid;638;
10826;Unterrabnitz-Schwendgraben;612;
10827;Weingraben;343;
10828;Oberloisdorf;824;
10901;Bad Tatzmannsdorf;1658;
10902;Bernstein;2145;
10903;Deutsch Schützen-Eisenberg;1070;
10904;Grafenschachen;1259;
10905;Großpetersdorf;3585;
10906;Hannersdorf;734;
10907;Kemeten;1559;
10908;Kohfidisch;1419;
10909;Litzelsdorf;1137;
10910;Loipersdorf-Kitzladen;1350;
10911;Mariasdorf;1122;
10912;Markt Allhau;2054;
10913;Markt Neuhodis;647;
10914;Mischendorf;1425;
10915;Oberdorf im Burgenland;959;
10916;Oberschützen;2499;
10917;Oberwart;8130;
10918;Pinkafeld;5881;
10919;Rechnitz;3014;
10920;Riedlingsdorf;1664;
10921;Rotenturm an der Pinka;1462;
10922;Schachendorf;732;
10923;Stadtschlaining;2017;
10924;Unterkohlstätten;963;
10925;Unterwart;1015;
10926;Weiden bei Rechnitz;799;
10927;Wiesfleck;1197;
10928;Wolfau;1514;
10929;Neustift an der Lafnitz;829;
10930;Jabing;735;
10931;Badersdorf;283;
10932;Schandorf;331;
20101;Klagenfurt am Wörthersee;105734;
20201;Villach;66051;
20302;Dellach;1185;
20305;Hermagor-Pressegger See;6930;
20306;Kirchbach;2455;
20307;Kötschach-Mauthen;3316;
20316;St. Stefan im Gailtal;1530;
20320;Gitschtal;1230;
20321;Lesachtal;1264;
20402;Ebenthal in Kärnten;8163;
20403;Feistritz im Rosental;2491;
20405;Ferlach;7537;
20409;Grafenstein;3064;
20412;Keutschach am See;2444;
20414;Köttmannsdorf;3190;
20415;Krumpendorf am Wörthersee;3608;
20416;Ludmannsdorf;1801;
20417;Maria Rain;2748;
20418;Maria Saal;4040;
20419;Maria Wörth;1636;
20421;Moosburg;4649;
20424;Pörtschach am Wörther See;2959;
20425;Poggersdorf;3384;
20428;St. Margareten im Rosental;1082;
20432;Schiefling am Wörthersee;2726;
20435;Techelsberg am Wörther See;2195;
20441;Zell;587;
20442;Magdalensberg;3727;
20501;Althofen;4976;
20502;Brückl;2677;
20503;Deutsch-Griffen;820;
20504;Eberstein;1233;
20505;Friesach;4830;
20506;Glödnitz;830;
20508;Gurk;1152;
20509;Guttaring;1520;
20511;Hüttenberg;1244;
20512;Kappel am Krappfeld;1923;
20513;Klein St. Paul;1754;
20515;Liebenfels;3401;
20518;Metnitz;1804;
20519;Micheldorf;974;
20520;Mölbling;1337;
20523;St. Georgen am Längsee;3599;
20527;St. Veit an der Glan;12178;
20530;Straßburg;1966;
20531;Weitensfeld im Gurktal;1987;
20534;Frauenstein;3544;
20601;Bad Kleinkirchheim;1623;
20602;Baldramsdorf;1827;
20603;Berg im Drautal;1227;
20604;Dellach im Drautal;1604;
20605;Großkirchheim;1316;
20607;Flattach;1099;
20608;Gmünd in Kärnten;2545;
20609;Greifenburg;1689;
20610;Heiligenblut am Großglockner;947;
20611;Irschen;1925;
20613;Kleblach-Lind;1143;
20616;Lendorf;1804;
20618;Mallnitz;753;
20619;Malta;1858;
20620;Millstatt am See;3458;
20622;Mörtschach;812;
20624;Mühldorf;1028;
20625;Oberdrauburg;1168;
20627;Obervellach;2168;
20630;Radenthein;5686;
20631;Rangersdorf;1692;
20632;Rennweg am Katschberg;1640;
20633;Sachsenburg;1310;
20634;Seeboden am Millstätter See;6681;
20635;Spittal an der Drau;15263;
20636;Stall;1483;
20637;Steinfeld;1958;
20638;Trebesing;1137;
20639;Weißensee;758;
20640;Winklern;1179;
20642;Krems in Kärnten;1581;
20643;Lurnfeld;2672;
20644;Reißeck;2085;
20701;Afritz am See;1480;
20702;Arnoldstein;7171;
20703;Arriach;1315;
20705;Bad Bleiberg;2109;
20707;Feistritz an der Gail;649;
20708;Feld am See;1050;
20710;Ferndorf;2020;
20711;Finkenstein am Faaker See;9591;
20712;Fresach;1233;
20713;Hohenthurn;880;
20719;Nötsch im Gailtal;2358;
20720;Paternion;5762;
20721;Rosegg;1925;
20722;St. Jakob im Rosental;4325;
20723;Stockenboi;1550;
20724;Treffen am Ossiacher See;4493;
20725;Velden am Wörther See;9171;
20726;Weißenstein;2885;
20727;Wernberg;5641;
20801;Bleiburg;4015;
20802;Diex;784;
20803;Eberndorf;5983;
20804;Eisenkappel-Vellach;2211;
20805;Feistritz ob Bleiburg;2244;
20806;Gallizien;1808;
20807;Globasnitz;1550;
20808;Griffen;3392;
20810;Neuhaus;1008;
20812;Ruden;1468;
20813;St. Kanzian am Klopeiner See;4654;
20815;Sittersdorf;1925;
20817;Völkermarkt;10803;
20901;Bad St. Leonhard im Lavanttal;4202;
20905;Frantschach-St. Gertraud;2418;
20909;Lavamünd;2735;
20911;Preitenegg;883;
20912;Reichenfels;1708;
20913;St. Andrä;9836;
20914;St. Georgen im Lavanttal;1892;
20918;St. Paul im Lavanttal;3176;
20923;Wolfsberg;25011;
21001;Albeck;940;
21002;Feldkirchen in Kärnten;14558;
21003;Glanegg;1802;
21004;Gnesau;1019;
21005;Himmelberg;2306;
21006;Ossiach;718;
21007;Reichenau;1694;
21008;St. Urban;1628;
21009;Steindorf am Ossiacher See;3844;
21010;Steuerberg;1573;
30101;Krems an der Donau;25581;
30201;St. Pölten;60112;
30301;Waidhofen an der Ybbs;11053;
30401;Wiener Neustadt;50025;
30501;Allhartsberg;2213;
30502;Amstetten;23980;
30503;Ardagger;3563;
30504;Aschbach-Markt;3774;
30506;Behamberg;3439;
30507;Biberbach;2348;
30508;Ennsdorf;3331;
30509;Ernsthofen;2278;
30510;Ertl;1250;
30511;Euratsfeld;2827;
30512;Ferschnitz;1867;
30514;Haag;5977;
30515;Haidershofen;3706;
30516;Hollenstein an der Ybbs;1666;
30517;Kematen an der Ybbs;2706;
30520;Neuhofen an der Ybbs;3061;
30521;Neustadtl an der Donau;2157;
30522;Oed-Oehling;2206;
30524;Opponitz;868;
30526;St. Georgen am Reith;528;
30527;St. Georgen am Ybbsfelde;2809;
30529;St. Pantaleon-Erla;2712;
30530;St. Peter in der Au;5101;
30531;St. Valentin;9291;
30532;Seitenstetten;3389;
30533;Sonntagberg;3644;
30534;Strengberg;2217;
30536;Viehdorf;1346;
30538;Wallsee-Sindelburg;2204;
30539;Weistrach;2484;
30541;Winklarn;1868;
30542;Wolfsbach;2246;
30543;Ybbsitz;3349;
30544;Zeillern;1929;
30601;Alland;2693;
30602;Altenmarkt an der Triesting;2176;
30603;Bad Vöslau;12589;
30604;Baden;26097;
30605;Berndorf;8815;
30607;Ebreichsdorf;12017;
30608;Enzesfeld-Lindabrunn;4297;
30609;Furth an der Triesting;847;
30612;Günselsdorf;1744;
30613;Heiligenkreuz;1600;
30614;Hernstein;1537;
30615;Hirtenberg;2571;
30616;Klausen-Leopoldsdorf;1701;
30618;Kottingbrunn;7380;
30620;Leobersdorf;5363;
30621;Mitterndorf an der Fischa;3155;
30623;Oberwaltersdorf;5353;
30625;Pfaffstätten;3522;
30626;Pottendorf;7849;
