"GEO_ID";"GEO_NAME";"VARIABLE";VALUE;"UNIT";"STATUS";"STATUS_DESC";"DESC_VAL";"PERIOD_REF";"SOURCE";"LAST_UPDATE";"GEOM_CODE";"GEOM";"GEOM_PERIOD";"MAP_ID";"MAP_URL"
"1";"Aeugst am Albis";"Population at the end of the year";1991;"Einwohner/Innen";"A";"Normaler Wert";"";"2022-12-31";"BFS – Statistik der Bevölkerung und der Haushalte (STATPOP)";"2023-08-07";"polg";"Communes";"2022-05-01";"27090";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27090_en.html"
"2";"Affoltern am Albis";"Population at the end of the year";12588;"Einwohner/Innen";"A";"Normaler Wert";"";"2022-12-31";"BFS – Statistik der Bevölkerung und der Haushalte (STATPOP)";"2023-08-07";"polg";"Communes";"2022-05-01";"27090";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27090_en.html"
"3";"Bonstetten";"Population at the end of the year";5624;"Einwohner/Innen";"A";"Normaler Wert";"";"2022-12-31";"BFS – Statistik der Bevölkerung und der Haushalte (STATPOP)";"2023-08-07";"polg";"Communes";"2022-05-01";"27090";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27090_en.html"
"4";"Hausen am Albis";"Population at the end of the year";3879;"Einwohner/Innen";"A";"Normaler Wert";"";"2022-12-31";"BFS – Statistik der Bevölkerung und der Haushalte (STATPOP)";"2023-08-07";"polg";"Communes";"2022-05-01";"27090";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27090_en.html"
"5";"Hedingen";"Population at the end of the year";3871;"Einwohner/Innen";"A";"Normaler Wert";"";"2022-12-31";"BFS – Statistik der Bevölkerung und der Haushalte (STATPOP)";"2023-08-07";"polg";"Communes";"2022-05-01";"27090";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27090_en.html"
"6";"Kappel am Albis";"Population at the end of the year";1321;"Einwohner/Innen";"A";"Normaler Wert";"";"2022-12-31";"BFS – Statistik der Bevölkerung und der Haushalte (STATPOP)";"2023-08-07";"polg";"Communes";"2022-05-01";"27090";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27090_en.html"
"7";"Knonau";"Population at the end of the year";2416;"Einwohner/Innen";"A";"Normaler Wert";"";"2022-12-31";"BFS – Statistik der Bevölkerung und der Haushalte (STATPOP)";"2023-08-07";"polg";"Communes";"2022-05-01";"27090";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27090_en.html"
"8";"Maschwanden";"Population at the end of the year";644;"Einwohner/Innen";"A";"Normaler Wert";"";"2022-12-31";"BFS – Statistik der Bevölkerung und der Haushalte (STATPOP)";"2023-08-07";"polg";"Communes";"2022-05-01";"27090";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27090_en.html"
"9";"Mettmenstetten";"Population at the end of the year";5635;"Einwohner/Innen";"A";"Normaler Wert";"";"2022-12-31";"BFS – Statistik der Bevölkerung und der Haushalte (STATPOP)";"2023-08-07";"polg";"Communes";"2022-05-01";"27090";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27090_en.html"
"10";"Obfelden";"Population at the end of the year";5787;"Einwohner/Innen";"A";"Normaler Wert";"";"2022-12-31";"BFS – Statistik der Bevölkerung und der Haushalte (STATPOP)";"2023-08-07";"polg";"Communes";"2022-05-01";"27090";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27090_en.html"
"11";"Ottenbach";"Population at the end of the year";2858;"Einwohner/Innen";"A";"Normaler Wert";"";"2022-12-31";"BFS – Statistik der Bevölkerung und der Haushalte (STATPOP)";"2023-08-07";"polg";"Communes";"2022-05-01";"27090";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27090_en.html"
"12";"Rifferswil";"Population at the end of the year";1149;"Einwohner/Innen";"A";"Normaler Wert";"";"2022-12-31";"BFS – Statistik der Bevölkerung und der Haushalte (STATPOP)";"2023-08-07";"polg";"Communes";"2022-05-01";"27090";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27090_en.html"
"13";"Stallikon";"Population at the end of the year";3854;"Einwohner/Innen";"A";"Normaler Wert";"";"2022-12-31";"BFS – Statistik der Bevölkerung und der Haushalte (STATPOP)";"2023-08-07";"polg";"Communes";"2022-05-01";"27090";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27090_en.html"
